epoch,train_loss,test_loss,test_accuracy,epoch_time_sec
1,2.1937612239837647,2.5011482055664063,10.0,19.213404178619385
2,2.0663724863433837,2.7929502685546876,10.0,17.884552717208862
3,2.0101978146362303,3.032136865234375,10.0,17.919436931610107
4,1.9686692353057862,3.16051669921875,10.0,18.043367862701416
5,1.9451372500228883,3.2440310546875,10.0,17.936376571655273
6,1.932750116958618,3.23230029296875,10.0,18.218855142593384
7,1.9174210568237304,3.101422265625,10.0,17.929945468902588
8,1.9088066711044311,3.1554393798828126,10.0,17.94201374053955
9,1.899145980796814,3.1782246826171874,10.0,17.924094200134277
10,1.8829614012908935,3.1193524169921876,10.0,17.898424863815308
11,1.8673374020385742,3.02046494140625,10.28,17.915799617767334
12,1.858852770729065,2.799025390625,13.58,18.033729076385498
13,1.8496894067001344,2.9899475830078126,10.32,17.87819004058838
14,1.8375579056549072,2.946846826171875,11.0,17.899821519851685
15,1.8272711956787109,2.9313145263671876,10.89,17.87931537628174
16,1.8129508820343017,2.6806005126953125,12.97,17.886334657669067
17,1.8063076736450194,2.789360888671875,13.51,17.875903606414795
18,1.7875560105133057,2.748137841796875,9.98,17.925752878189087
19,1.7742783779907227,2.84441240234375,14.05,18.09114360809326
20,1.7428911182022095,2.7038208984375,10.0,17.91647958755493
21,1.717596620864868,2.5959212646484375,10.02,17.897828578948975
22,1.6978829193115235,2.6373185546875,10.03,17.94770312309265
23,1.686566559677124,2.6466770751953126,10.02,17.889962434768677
24,1.6686513085174561,2.6283364013671875,10.05,17.940064668655396
25,1.6540669272232056,2.6390869384765625,10.02,18.048844814300537
26,1.6427991919708251,2.6875563232421875,10.01,17.92422652244568
27,1.6269594400787353,2.6330902587890623,10.01,17.90964365005493
28,1.6265275406646729,2.652492138671875,10.1,17.876131534576416
29,1.6020457244491577,2.7043335693359376,10.0,17.91733956336975
30,1.5993181084442138,2.5749811279296875,10.13,17.961577653884888
