epoch,train_loss,test_loss,test_accuracy,epoch_time_sec
1,2.1699920756530764,2.507870520019531,10.0,19.038289070129395
2,1.9870962420654297,2.9178762939453127,10.0,17.65012764930725
3,1.9239416162109375,3.0594798583984373,10.0,17.619991302490234
4,1.8902689417266845,3.0410628173828127,10.0,17.693356037139893
5,1.869694560775757,2.9360346435546876,10.02,17.94407892227173
6,1.820909224624634,2.90184912109375,10.14,17.639806032180786
7,1.731808970565796,2.775887744140625,12.0,17.665371894836426
8,1.6524183591079713,2.71366025390625,15.65,17.656082153320312
9,1.5987968775177002,2.7111782958984376,17.2,17.741612434387207
10,1.530080419845581,2.6543929931640626,11.93,17.69974112510681
11,1.4865331520843506,2.6235210693359376,12.07,17.775702714920044
12,1.4394989661407471,2.3709283935546877,13.48,18.0192768573761
13,1.3973897431182862,2.474356335449219,17.43,17.77085018157959
14,1.349141535835266,2.258049060058594,14.77,17.73001194000244
15,1.3002841135406493,2.2135028076171874,18.25,17.776610136032104
16,1.2589969853973388,2.253431872558594,18.67,17.681339502334595
17,1.2305305281448364,2.0968849487304686,22.48,18.142746448516846
18,1.1926243392181397,2.1014357543945312,21.92,17.93362259864807
19,1.1721317848968507,2.0218459350585936,23.23,18.003231525421143
20,1.137509330368042,2.0162311889648437,27.5,17.859688758850098
21,1.1250271979522706,1.7393934936523439,41.98,17.875592470169067
22,1.1069962268829345,1.8567465454101562,29.68,17.832207202911377
23,1.0941957891082763,1.907732470703125,32.32,17.80888843536377
24,1.0725977808761598,1.8346694458007813,37.31,17.85605764389038
25,1.0665337717819214,1.845882568359375,35.04,17.863125324249268
26,1.0529382775497436,1.7563473266601564,40.33,17.894203186035156
27,1.0396599573898315,1.748751708984375,38.68,18.15027928352356
28,1.0301179999542236,1.7735422607421876,37.26,18.237262964248657
29,1.018146815071106,1.7636049194335937,40.58,18.25074577331543
30,1.0036483671951293,1.7061126098632813,41.44,18.270582914352417
